Name,trueName,x,y,z,Axis.X,Axis.Y,Axis.Z,RefDirection.X,RefDirection.Y,RefDirection.Z
END-XXS-0/1,END-S0/C,3015.75,174.75,361.50,0.00,0.00,1.00,0.00,-1.00,0.00
END-XXS-0/1,END-S0/C,2416.25,174.75,361.50,0.00,0.00,1.00,0.00,-1.00,0.00
END-XXS-0/1,END-S0/C,1816.75,174.75,361.50,0.00,0.00,1.00,0.00,-1.00,0.00
END-XXS-0/1,END-S0/C,1217.25,174.75,361.50,0.00,0.00,1.00,0.00,-1.00,0.00
END-XXS-0/1,END-S0/C,617.75,174.75,361.50,0.00,0.00,1.00,0.00,-1.00,0.00
END-XXS-0/10,END-R0/E,299.50,158.75,273.75,1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/10,END-R0/E,3316.00,158.75,273.75,1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/2,END-R0/A,3174.75,299.50,195.75,0.00,1.00,0.00,-1.00,0.00,0.00
END-XXS-0/3,END-S0/D,917.50,158.75,273.75,-1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/3,END-S0/D,935.50,158.75,273.75,-1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/3,END-S0/D,335.50,158.75,273.75,-1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/3,END-S0/D,2716.00,158.75,273.75,-1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/3,END-S0/D,2134.50,158.75,273.75,-1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/3,END-S0/D,2116.50,158.75,273.75,-1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/3,END-S0/D,3316.00,158.75,273.75,-1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/3,END-S0/D,1535.00,158.75,273.75,-1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/3,END-S0/D,2734.00,158.75,273.75,-1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/3,END-S0/D,1517.00,158.75,273.75,-1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/4,END-S0/B,3015.75,50.00,195.75,0.00,-1.00,0.00,0.00,0.00,1.00
END-XXS-0/4,END-S0/B,2416.25,50.00,195.75,0.00,-1.00,0.00,0.00,0.00,1.00
END-XXS-0/4,END-S0/B,1816.75,50.00,195.75,0.00,-1.00,0.00,0.00,0.00,1.00
END-XXS-0/4,END-S0/B,617.75,50.00,195.75,0.00,-1.00,0.00,0.00,0.00,1.00
END-XXS-0/4,END-S0/B,1217.25,50.00,195.75,0.00,-1.00,0.00,0.00,0.00,1.00
END-XXS-0/5,END-S0/A,1816.75,299.50,195.75,0.00,1.00,0.00,0.00,0.00,1.00
END-XXS-0/5,END-S0/A,2416.25,299.50,195.75,0.00,1.00,0.00,0.00,0.00,1.00
END-XXS-0/5,END-S0/A,1217.25,299.50,195.75,0.00,1.00,0.00,0.00,0.00,1.00
END-XXS-0/6,END-R0/FF,18.00,158.75,189.75,-1.00,0.00,0.00,0.00,-1.00,0.00
END-XXS-0/7,END-R0/F,3615.50,158.75,189.75,1.00,0.00,0.00,0.00,1.00,0.00
END-XXS-0/8,END-R0/G,158.75,0.00,273.75,0.00,1.00,0.00,1.00,0.00,0.00
END-XXS-0/8,END-R0/G,3474.75,18.00,273.75,0.00,-1.00,0.00,-1.00,0.00,0.00
END-XXS-0/9,END-R0/AA,458.75,299.50,195.75,0.00,1.00,0.00,-1.00,0.00,0.00
